Altium Designer Pick and Place Locations
\\NAS\home\Projects\PCB Design\RGB Clock\Audio\PCB\Outputs\TAS5711_v1_0A_PickPlace.csv

========================================================================================================================
File Design Information:

Date:       23/02/22
Time:       00:48
Revision:   602cb3d9ca9cb6884a512593ce56fd18db5bfc6b
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C31","Capacitor","TopLayer","CAPC1608X90N","16.0500","11.2844","180","CAP CER 1UF 35V X5R 0603"
"C30","Capacitor","TopLayer","CAPC1608X90N","16.0500","28.7000","180","CAP CER 1UF 35V X5R 0603"
"R6","Resistor","TopLayer","RES_1608-0603","8.6000","11.5000","270","RES SMD 10K OHM 1% 1/10W 0603"
"R4","Resistor","TopLayer","RES_1608-0603","7.0000","11.5000","270","RES SMD 10K OHM 1% 1/10W 0603"
"C28","Capacitor","TopLayer","CAPC1608X90N","13.4000","11.5000","90","CAP CER 1UF 35V X5R 0603"
"C27","Capacitor","TopLayer","CAPC1608X90N","11.8000","11.5000","90","CAP CER 0.1UF 50V X7R 0603"
"C26","Capacitor","TopLayer","CAPC1608X90N","7.9000","34.0000","180","CAP CER 0.1UF 50V X7R 0603"
"C25","Capacitor","TopLayer","CAPC1608X90N","7.9000","35.5000","180","CAP CER 4.7UF 16V X5R 0603"
"C10","Capacitor","TopLayer","CAPC1608X90N","10.2000","11.5000","90","CAP CER 0.1UF 50V X7R 0603"
"C15","CapE-8.0-THT-220uF-35V","TopLayer","CAPAE250P680X1220_VERT","18.3000","4.9500","270","CAP ALUM 220UF 20% 35V RADIAL"
"C19","Capacitor","TopLayer","CAPC1608X90N","16.0500","12.8000","180","CAP CER 0.1UF 50V X7R 0603"
"C16","Capacitor","TopLayer","CAPC1608X90N","19.9750","18.0750","90","CAP CER 0.1UF 50V X7R 0603"
"C22","Capacitor","TopLayer","CAPC1608X90N","19.2750","12.8000","360","CAP CER 0.033UF 50V X7R 0603"
"C24","Capacitor","TopLayer","CAPC3216X100N","26.9000","3.7000","180","CAP CER 0.68UF 100V X7R 1206"
"C20","Capacitor","TopLayer","CAPC1608X90N","21.8750","18.0750","270","CAP CER 0.033UF 50V X7R 0603"
"C21","Capacitor","TopLayer","CAPC3216X100N","26.9000","18.8500","360","CAP CER 0.68UF 100V X7R 1206"
"L5","Inductor SMD 10uH 2.4A","TopLayer","SRN6045TA_SMD_INDUCTOR","26.4000","8.0750","90","FIXED IND 10UH 2.4A 59.8MOHM SMD"
"L4","Inductor SMD 10uH 2.4A","TopLayer","SRN6045TA_SMD_INDUCTOR","26.4000","14.4750","90","FIXED IND 10UH 2.4A 59.8MOHM SMD"
"P7","PWR_HDR","TopLayer","HDR1X2-HEADER","10.5300","38.1000","360","Header, 2-Pin"
"MH1","Screw Hole","TopLayer","M3-Hole-2","3.0000","37.0000","0",""
"U1","TAS5711","TopLayer","TSQFP50P900X900X105_HS-49M","13.1500","20.0000","270","IC AMP D DUAL/QUAD 21W 48HTQFP"
"U2","AP2112K-3.3TRG1","TopLayer","SOT23-5","11.3100","4.0500","360","IC REG LINEAR 3.3V 600MA SOT25"
"R10","Resistor","TopLayer","RES_1608-0603","25.0000","1.5000","180","RES SMD 1K OHM 1% 1/10W 0603"
"R8","Resistor","TopLayer","RES_1608-0603","25.0000","38.5000","180","RES SMD 10K OHM 1% 1/10W 0603"
